en_common_name,pt_common_name,work_species,work_author,variety,family,growth_form_1,growth_form,life_cycle,stratum,light_demand,initial_harvest_yrs,max_initial_harvest_yrs,production_longevity_yrs,apical_pruning_yrs,deciduousness,height_m,estage,function,pollination_syndrome,dispersal_syndrome,threat_status,establishment,habitat,spacing,occurrence,
,,Myrcia congestiflora,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga,,BR-RJ|BR-SP,
,,Calyptranthes blanchetiana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-PA,
,,Myrcia espiritosantensis,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Calyptranthes fusiformis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ|BR-SP,
,,Myrcia gilsoniana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Myrcia hexasticha,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-PR|BR-RJ|BR-SP,
,,Myrcia lughadhae,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-BA,
,guapiciqui,Myrcia magnifolia,(O.Berg) Kiaersk.,,Myrtaceae,tree,tree,perennial,,,5,,,,,10,,human food,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-RJ,
,,Calyptranthes martiusiana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Myrcia neocambessedeana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Eugenia neosericea,,,Myrtaceae,subshrub,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Floresta Estacional Semidecidual,,BR-MG,
,,Myrcia pendula,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Calyptranthes pileata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-RS|BR-SC,
,,Calyptranthes restingae,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-BA|BR-SE,
,,Myrcia reticulata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-MG|BR-RJ,
,,Myrcia riodocensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Myrcia robusta,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Myrcia rupicola,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,,BR-MG|BR-PR|BR-SC|BR-SP,
,,Myrcia ruschii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Marlierea skortzoviana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),,Floresta Ombrófila (= Floresta Pluvial),,,
,,Myrcia stictophylla,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-RJ|BR-SP,
,,Myrcia velutiflora,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Myrcia warmingiana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Myrciaria alagoana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-AL,
,,Myrciaria evanida,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG,
,,Myrciaria leucadendron,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
camboim,mini-jabuticaba-azul,Myrciaria plinioides,D.Legrand,,Myrtaceae,tree,tree,perennial,medium,4,,,,,evergreen,5,,human food;materials,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-RS|BR-SC,
,,Neomitranthes amblymitra,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-MG|BR-RJ|BR-SP,
,,Neomitranthes cordifolia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-PR|BR-RS|BR-SC,
,,Neomitranthes gracilis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual,,BR-MG|BR-PR|BR-SP,
,,Neomitranthes obtusa,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-AL|BR-BA|BR-ES|BR-SE,
,,Neomitranthes pedicellata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-SP,
,,Neomitranthes pereireana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-ES|BR-RJ,
,,Neomitranthes stictophylla,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-PE,
,,Plinia callosa,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Plinia cordifolia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-RS|BR-SC,
,cambuca,Plinia edulis,(Vell.) Sobral,,Myrtaceae,tree,tree,perennial,medium,4,10,,,,,10,,human food,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SP|BR-TO,
,,Plinia espinhacensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Plinia hatschbachii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR,
,,Plinia longiacuminata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Plinia marqueteana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Plinia martinellii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Plinia muricata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Plinia rara,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Plinia renatiana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Plinia rogersiana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Plinia spiciflora,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Plinia spiritosantensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Psidium araucanum,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila Mista,,BR-PR|BR-SP,
,,Psidium grazielae,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual,,BR-ES|BR-RJ,
,,Psidium reptans,,,Myrtaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Cerrado (lato sensu),,BR-PR,
,,Psidium rotundidiscum,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Floresta Estacional Semidecidual,,BR-BA,
,,Calycolpus sessiliflorus,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Cerrado (lato sensu),,BR-BA|BR-GO|BR-TO,
,,Siphoneugena delicata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Siphoneugena kuhlmannii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP,
,,Marlierea martinellii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Bougainvillea fasciculata,,,Nyctaginaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ciliar ou Galeria,,BR-MG,
,,Neea alumnorum,,,Nyctaginaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Elvasia gigantifolia,,,Ochnaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Luxemburgia angustifolia,,,Ochnaceae,shrub,shrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre,,BR-MG,
,,Luxemburgia corymbosa,,,Ochnaceae,shrub,shrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre,,BR-MG,
,,Luxemburgia flexuosa,,,Ochnaceae,subshrub,subshrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre,,BR-MG,
,,Luxemburgia glazioviana,,,Ochnaceae,shrub,shrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-RJ,
,,Ouratea campos-portoi,,,Ochnaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Ouratea cauliflora,,,Ochnaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Ouratea chrysopetala,,,Ochnaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta de Igapó,,BR-AM,
,,Ouratea conduplicata,,,Ochnaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-BA|BR-RJ,
,,Ouratea grandifolia,,,Ochnaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Ouratea hatschbachii,,,Ochnaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-BA|BR-MG,
,,Ouratea miersii,,,Ochnaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),native,Restinga,,BR-RJ,
,,Ouratea pycnostachys,,,Ochnaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Ouratea robusta,,,Ochnaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-AL|BR-BA|BR-SE,
,,Ouratea xerophila,,,Ochnaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Caatinga (stricto sensu),,BR-PI,
,,Sauvagesia nitida,,,Ochnaceae,shrub,shrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre,,BR-BA,
,,Wallacea multiflora,,,Ochnaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,,,BR-AM|BR-RR,
,,Dulacia egleri,,,Olacaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ciliar ou Galeria,,BR-MS|BR-MT|BR-TO,
,,Dulacia gardneriana,,,Olacaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-CE|BR-PB|BR-PE|BR-PI,
,,Dulacia singularis,,,Olacaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Chionanthus ferrugineus,,,Oleaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG,
,,Chionanthus fluminensis,,,Oleaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Chionanthus micranthus,,,Oleaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-RJ,
,,Chionanthus parviflorus,,,Oleaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES,
,,Chionanthus subsessilis,,,Oleaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Cerrado (lato sensu)|Floresta Estacional Semidecidual,,BR-MG,
,,Priogymnanthus saxicola,,,Oleaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Caatinga (stricto sensu)|Vegetação Sobre Afloramentos Rochosos,,BR-MG,
,,Fuchsia alpestris,,,Onagraceae,Liana/volúvel/trepadeira,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Fuchsia glazioviana,,,Onagraceae,Arbusto|Liana/volúvel/trepadeira,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Acianthera adiri,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR,
,,Acianthera bidentata,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Acianthera heringeri,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG|BR-RJ,
,,Acianthera langeana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR,
,,Acianthera papillosa,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-CE|BR-ES|BR-MG|BR-PE|BR-RS|BR-SP,
,,Acianthera subrotundifolia,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Adamantinia miltonioides,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre|Floresta Estacional Decidual,,BR-BA,
,,Anathallis colnagoi,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Anathallis gehrtii,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG|BR-RJ|BR-SC|BR-SP,
,,Anathallis pabstii,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-RJ|BR-RS|BR-SC,
,,Anathallis pubipetala,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Anathallis spannageliana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Anathallis tigridens,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Barbosella macaheensis,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Barbosella trilobata,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-SC,
,,Bifrenaria silvana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Bifrenaria wittigii,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Bipinnula biplumata,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),native,Campo Limpo,,BR-RS,
,,Bipinnula penicillata,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),native,Campo Limpo,,BR-PR|BR-RS,
,,Brachionidium restrepioides,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-MG|BR-RJ|BR-SP,
,,Brachystele camporum,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),native,Campo de Altitude,,BR-PR|BR-RS|BR-SC,
,,Brassia arachnoidea,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-RJ,
,,Bulbophyllum arianeae,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Bulbophyllum boudetianum,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Bulbophyllum kautskyi,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES,
,,Bulbophyllum macroceras,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Campylocentrum organense,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Campylocentrum pernambucense,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-AL|BR-BA|BR-PB|BR-PE|BR-SE,
,,Catasetum mattosianum,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA|BR-ES,
,,Cattleya aclandiae,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Caatinga (stricto sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual,,BR-BA,
,,Hadrolaelia alaori,,,Orchidaceae,,,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Hoffmannseggella briegeri,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Hoffmannseggella caulescens,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Brasilaelia crispa,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-MG|BR-RJ|BR-SP,
,,Cattleya dormaniana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Hoffmannseggella endsfeldzii,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Hoffmannseggella ghillanyi,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-MG,
,,Hoffmannseggella gloedeniana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES,
,,Brasilaelia grandis,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Cattleya schofieldiana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-AL|BR-BA|BR-ES|BR-PB|BR-PE|BR-RN,
,,Cattleya guttata,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-SC|BR-SP,
,,Dungsia harpophylla,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),,,,,
,,Cattleya harrisoniana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG|BR-RJ|BR-SP,
,,Hoffmannseggella mixta,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES,
,,Cattleya intermedia,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,,Hadrolaelia jongheana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG,
,,Hoffmannseggella kautskyana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES,
,,Cattleya labiata,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-AL|BR-BA|BR-CE|BR-PB|BR-PE|BR-SE,
,,Cattleya lobata,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Hoffmannseggella milleri,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo rupestre,,BR-MG,
,,Hoffmannseggella munchowiana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-MG,
,,Dungsia kautskyi,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Brasilaelia perrinii,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG|BR-RJ|BR-SP,
,,Cattleya porphyroglossa,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-MG|BR-PR|BR-RJ|BR-SC,
,,Hadrolaelia pumila,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo rupestre|Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-MG|BR-RJ,
,,Brasilaelia purpurata,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-RS|BR-SC|BR-SP,
,,Hadrolaelia pygmaea,,,Orchidaceae,,,,,,,,,,,,,,,,Em Perigo (EN),,,,,
,,Cattleya schilleriana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-RJ,
,,Hadrolaelia sincorana,,,Orchidaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Vegetação Sobre Afloramentos Rochosos,,BR-BA,
